iter	RMSE
287	7824.147634
288	7814.146713
289	7759.254825
290	7726.907415
291	7698.00344
292	7655.06383
293	7612.473531
294	7564.419882
295	7535.821197
296	7517.266927
297	7511.044843
298	7497.347918
299	7476.010539
300	7467.447285
301	7417.548942
302	7369.96483
303	7333.297087
304	7311.273907
305	7285.005319
306	7244.862895
307	7224.777321
308	7171.677298
309	7139.679834
310	7108.240709
311	7087.379955
312	7079.543687
313	7050.230767
314	7026.729172
315	6994.202422
316	6970.391954
317	6945.004794
318	6922.214566
319	6900.773822
320	6884.344622
321	6870.113302
322	6859.81709
323	6847.643598
324	6803.750743
325	6782.940559
326	6766.040823
327	6742.68591
328	6708.16916
329	6702.775952
330	6676.428586
331	6653.730585
332	6633.469195
333	6625.996072
334	6621.088052
335	6605.28229
336	6570.121047
337	6548.572122
338	6538.428768
339	6517.216387
340	6512.50336
341	6486.571476
342	6459.802975
343	6410.84607
344	6383.028371
345	6370.3528
346	6348.492285
347	6318.042457
348	6280.748385
349	6267.479713
350	6260.424933
351	6254.796708
352	6224.400127
353	6211.13095
354	6201.950106
355	6183.190132
356	6178.920165
357	6153.416769
358	6146.250309
359	6136.02885
360	6103.101199
361	6092.499338
362	6069.066211
363	6029.64108
364	5984.556433
365	5980.453461
366	5975.864593
367	5964.543294
368	5960.601474
369	5937.751815
370	5900.874314
371	5891.693347
372	5877.35084
373	5861.423722
374	5845.543944
375	5816.367193
376	5805.396398
377	5790.882287
378	5762.672818
379	5741.446614
380	5707.189737
381	5693.867504
382	5681.4609
383	5663.122135
384	5657.362229
385	5646.498425
386	5642.30005
387	5620.373776
388	5614.763001
389	5610.322253
390	5601.969876
391	5597.424754
392	5581.056375
393	5572.768314
394	5563.48026
395	5552.343807
396	5528.516473
397	5521.579862
398	5498.995266
399	5484.021252
400	5450.404518
401	5444.474442
402	5412.311295
403	5397.84435
404	5371.501047
405	5362.427761
406	5357.217397
407	5335.16082
408	5326.756331
409	5319.076401
410	5298.475481
411	5260.312051
412	5257.406771
413	5253.886818
414	5250.484694
415	5225.255348
416	5214.142576
417	5193.87936
418	5190.777891
419	5178.646527
420	5175.66801
421	5158.235536
422	5149.802698
423	5118.856773
424	5101.487406
425	5083.814883
426	5046.622443
427	5028.567045
428	5010.391068
429	4979.857716
430	4960.14211
431	4956.928468
432	4950.106962
433	4935.107773
434	4902.003691
435	4881.28154
436	4861.52044
437	4858.599976
438	4856.104264
439	4848.456859
440	4817.388248
441	4815.143241
442	4806.713508
443	4789.761191
444	4786.973799
445	4766.718181
446	4740.313229
447	4717.677436
448	4701.029246
449	4688.034888
450	4649.230651
451	4614.900325
452	4612.103197
453	4595.526846
454	4586.302148
455	4564.735719
456	4551.238165
457	4526.423013
458	4515.292365
459	4507.775186
460	4476.242579
461	4469.516042
462	4446.068509
463	4419.006282
464	4401.815186
465	4383.254069
466	4361.849246
467	4354.576675
468	4351.602484
469	4342.67577
470	4335.20123
471	4313.048874
472	4295.344265
473	4274.165115
474	4243.470595
475	4220.616428
476	4206.902573
477	4193.642195
478	4184.565109
479	4167.005681
480	4156.497391
481	4143.225788
482	4134.391959
483	4127.8638
484	4109.240153
485	4087.156377
486	4068.470075
487	4056.634141
488	4051.342611
489	4028.190478
490	4015.02632
491	3994.235264
492	3982.62376
493	3969.290761
494	3965.428208
495	3951.380737
496	3933.042395
497	3902.874815
498	3888.218067
499	3873.890646
500	3849.833876
501	3840.206239
502	3827.666751
503	3812.524038
504	3798.5491
505	3794.466358
506	3778.508594
507	3773.47097
508	3763.397912
509	3758.902611
510	3750.113121
511	3737.454575
512	3735.966035
513	3733.883549
514	3725.252568
515	3723.474482
516	3715.443448
517	3703.651439
518	3691.304166
519	3677.890147
520	3665.200683
521	3649.701588
522	3647.695513
523	3635.833949
524	3630.17545
525	3623.20692
526	3605.682892
527	3582.574415
528	3575.943129
529	3559.964264
530	3540.694006
531	3525.069866
532	3516.608514
533	3512.43071
534	3499.712027
535	3483.212361
536	3473.378579
537	3452.847137
538	3442.844656
539	3436.864323
540	3433.430533
541	3416.50488
542	3408.704037
543	3392.655672
544	3374.902553
545	3361.577562
546	3348.969786
547	3338.674522
548	3329.428061
549	3307.724379
550	3290.874955
551	3279.359095
552	3268.461621
553	3264.864803
554	3248.727575
555	3240.574581
556	3237.078351
557	3228.703397
558	3222.416531
559	3212.569794
560	3200.012496
561	3186.573439
562	3175.542464
563	3162.761777
564	3142.395605
565	3129.674532
566	3110.444315
567	3096.940467
568	3089.624724
569	3072.290166
570	3069.43884
571	3063.314179
572	3050.754067
573	3045.364555
574	3033.278429
575	3031.617717
576	3028.26559
577	3005.878375
578	2995.633855
579	2979.933275
580	2974.923593
581	2970.664769
582	2966.992851
583	2949.30966
584	2940.320116
585	2929.905163
586	2916.804216
587	2899.707778
588	2893.160402
589	2879.312009
590	2878.190568
591	2860.983719
592	2854.195632
593	2851.489462
594	2844.970801
595	2841.225158
596	2832.646171
597	2829.866874
598	2826.011689
599	2823.48185
600	2822.219417
601	2810.216318
602	2791.386122
603	2771.374237
604	2762.530118
605	2749.346551
606	2740.837256
607	2729.354182
608	2714.724774
609	2701.851651
610	2698.348734
611	2689.80187
612	2686.75207
613	2683.595484
614	2671.056292
615	2666.787613
616	2661.298281
617	2658.777864
618	2647.623374
619	2637.01721
620	2625.074044
621	2623.868419
622	2622.239038
623	2615.191864
624	2607.285079
625	2594.738791
626	2586.690755
627	2572.940234
628	2561.679438
629	2551.624157
630	2543.501198
631	2534.590674
632	2521.412331
633	2514.042195
634	2506.910466
635	2499.073058
636	2488.888356
637	2483.108623
638	2475.053833
639	2473.836782
640	2460.84711
641	2452.911676
642	2443.741945
643	2439.68023
644	2438.750523
645	2437.522226
646	2429.176339
647	2418.158189
648	2405.143817
649	2397.845481
650	2391.942585
651	2380.489415
652	2369.561117
653	2365.264947
654	2364.218343
655	2363.391786
656	2350.699943
657	2341.036697
658	2339.755981
659	2333.778124
660	2325.000885
661	2321.882102
662	2317.827655
663	2301.832022
664	2297.083581
665	2292.684838
666	2291.206976
667	2279.779367
668	2273.351091
669	2264.074846
670	2259.969426
671	2256.267302
672	2251.893446
673	2249.497078
674	2236.73803
675	2234.046116
676	2225.976708
677	2224.066916
678	2209.254674
679	2204.14923
680	2198.11859
681	2197.021149
682	2195.447161
683	2184.472401
684	2179.360237
685	2173.264213
686	2162.860376
687	2153.77908
688	2140.206782
689	2131.754512
690	2120.515134
691	2112.514553
692	2103.012549
693	2089.352356
694	2084.965788
695	2075.795779
696	2068.716653
697	2068.045535
698	2060.356691
699	2058.395553
700	2052.299713
701	2045.190787
702	2038.388704
703	2033.420926
704	2021.131822
705	2010.936329
706	2001.14396
707	1998.196639
708	1990.691767
709	1980.551893
710	1972.214363
711	1966.040364
712	1958.851698
713	1953.896464
714	1946.6146
715	1935.430104
716	1929.72596
717	1927.965236
718	1919.621019
719	1914.518131
720	1913.212856
721	1905.520685
722	1899.317082
723	1897.632023
724	1888.31783
725	1881.280576
726	1876.532329
727	1869.46263
728	1868.249195
729	1867.405503
730	1866.728765
731	1862.782049
732	1853.136632
733	1849.128551
734	1838.382485
735	1837.656389
736	1832.904547
737	1832.123131
738	1820.030109
739	1814.836967
740	1813.660615
741	1804.486864
742	1799.492815
743	1794.590948
744	1784.78917
745	1776.807456
746	1772.571463
747	1769.062468
748	1768.163377
749	1755.28526
750	1747.43945
751	1740.318736
752	1739.405776
753	1738.850072
754	1733.378665
755	1724.717698
756	1724.135954
757	1720.515346
758	1717.64195
759	1713.414279
760	1706.906965
761	1698.336531
762	1689.25145
763	1685.890285
764	1683.154432
765	1682.519877
766	1679.012101
767	1669.374971
768	1662.980125
769	1658.564579
770	1655.605205
771	1652.079551
772	1641.746837
773	1636.460432
774	1634.641374
775	1631.716662
776	1627.00098
777	1619.413915
778	1618.493035
779	1617.815108
780	1612.143828
781	1603.495186
782	1602.723574
783	1595.242712
784	1587.151637
785	1580.364819
786	1575.445686
787	1572.761158
788	1567.652365
789	1567.181116
790	1559.546425
791	1556.270939
792	1549.159651
793	1538.3965
794	1537.899829
795	1531.136885
796	1527.406492
797	1521.751059
798	1520.336058
799	1518.45819
800	1514.59264
801	1509.113692
802	1502.062185
803	1494.540636
804	1491.907364
805	1490.790558
806	1486.797297
807	1483.250204
808	1472.885691
809	1468.102958
810	1464.024425
811	1459.858055
812	1459.415853
813	1454.586053
814	1450.283299
815	1445.34579
816	1440.37583
817	1434.181558
818	1428.437264
819	1423.338846
820	1417.714501
821	1417.107501
822	1411.980082
823	1407.627574
824	1405.636725
825	1402.564773
826	1399.992153
827	1395.745987
828	1391.204143
829	1385.611717
830	1380.294579
831	1373.295574
832	1364.558673
833	1363.740606
834	1357.913752
835	1356.393822
836	1350.252544
837	1345.392007
838	1343.914983
839	1338.823306
840	1335.863562
841	1332.414061
842	1327.62733
843	1325.412716
844	1321.462288
845	1314.486129
846	1312.153336
847	1309.328772
848	1302.712253
849	1296.262292
850	1292.455053
851	1288.532504
852	1281.802012
853	1278.582024
854	1277.755602
855	1271.344197
856	1267.387437
857	1263.877585
858	1257.542425
859	1252.97206
860	1252.428234
861	1249.209924
862	1244.325147
863	1240.327415
864	1235.497295
865	1231.012362
866	1226.935846
867	1221.795069
868	1216.458957
869	1213.988293
870	1210.593255
871	1209.785547
872	1208.577487
873	1204.901065
874	1204.171102
875	1201.085891
876	1196.589002
877	1194.944397
878	1193.332892
879	1191.048709
880	1188.283185
881	1181.805412
882	1178.026268
883	1172.245349
884	1170.413751
885	1166.525985
886	1163.932968
887	1163.187892
888	1159.145985
889	1155.640691
890	1153.03798
891	1145.286856
892	1140.11376
893	1132.585421
894	1129.65224
895	1125.04604
896	1121.236148
897	1118.592889
898	1116.961764
899	1116.570724
900	1112.34814
901	1108.393603
902	1107.726085
903	1105.545456
904	1102.014484
905	1096.894955
906	1093.046608
907	1091.460731
908	1088.301749
909	1084.190316
910	1083.075268
911	1080.470632
912	1077.048078
913	1076.480684
914	1073.225687
915	1067.821253
916	1062.961458
917	1062.47782
918	1061.18971
919	1057.921783
920	1054.787898
921	1050.240709
922	1047.186625
923	1042.637129
924	1041.654811
925	1038.425977
926	1036.165981
927	1033.661597
928	1027.692443
929	1027.168982
930	1020.866695
931	1017.381067
932	1012.717207
933	1008.652997
934	1006.265388
935	1001.565945
936	1000.179424
937	997.5827436
938	992.5361535
939	992.2297034
940	988.8218489
941	985.1758994
942	983.4910948
943	981.1765252
944	977.3597185
945	975.0061637
946	973.299205
947	969.7046327
948	964.3414522
949	961.6404942
950	956.9956952
951	953.7863123
952	950.9795396
953	947.4764774
954	940.3862058
955	937.426982
956	936.954067
957	936.4018726
958	933.0727187
959	928.7594188
960	926.3166696
961	923.6167925
962	920.7150458
963	917.9916009
964	914.2042544
965	911.1548677
966	906.3519377
967	905.4428525
968	903.2271224
969	900.0795935
970	893.1380562
971	890.8249234
972	886.2450138
973	884.0384661
974	883.2092753
975	880.0807339
976	877.1646313
977	876.7154436
978	871.4801012
979	870.126917
980	866.5747655
981	863.8715427
982	862.9349401
983	859.0571622
984	858.5968956
985	857.3309557
986	855.0874843
987	851.2831741
988	848.0665798
989	844.4977254
990	844.1067022
991	842.5876222
992	840.2873889
993	836.0293579
994	835.5687976
995	834.0635336
996	830.3038846
997	827.420872
998	826.8148479
999	823.4149801
