iter	Passed	Remaining
455	943	1125
456	945	1123
457	947	1121
458	949	1119
459	951	1117
460	953	1114
461	955	1113
462	957	1110
463	959	1108
464	962	1106
465	964	1104
466	966	1102
467	968	1100
468	970	1098
469	972	1096
470	974	1094
471	976	1092
472	979	1090
473	981	1088
474	983	1086
475	985	1084
476	987	1082
477	989	1080
478	991	1078
479	993	1076
480	995	1074
481	997	1071
482	999	1069
483	1001	1067
484	1003	1065
485	1005	1063
486	1007	1061
487	1009	1059
488	1011	1056
489	1013	1055
490	1015	1052
491	1017	1050
492	1019	1048
493	1021	1046
494	1023	1044
495	1026	1042
496	1027	1040
497	1029	1038
498	1032	1036
499	1034	1034
500	1036	1031
501	1038	1029
502	1040	1027
503	1042	1025
504	1044	1023
505	1046	1021
506	1048	1019
507	1050	1017
508	1052	1015
509	1054	1012
510	1056	1010
511	1058	1008
512	1060	1006
513	1062	1004
514	1064	1002
515	1066	1000
516	1068	998
517	1070	995
518	1072	993
519	1074	991
520	1076	989
521	1078	987
522	1080	985
523	1082	983
524	1084	980
525	1086	978
526	1088	976
527	1090	974
528	1092	972
529	1094	970
530	1096	968
531	1098	966
532	1100	964
533	1102	962
534	1104	960
535	1106	958
536	1108	956
537	1111	954
538	1112	951
539	1114	949
540	1117	947
541	1119	946
542	1121	944
543	1123	942
544	1125	939
545	1127	937
546	1130	935
547	1132	934
548	1134	931
549	1136	929
550	1138	927
551	1140	925
552	1142	923
553	1144	921
554	1146	919
555	1149	917
556	1151	915
557	1153	913
558	1155	911
559	1157	909
560	1159	907
561	1161	904
562	1163	902
563	1165	900
564	1167	898
565	1169	896
566	1171	894
567	1173	892
568	1175	890
569	1177	888
570	1179	886
571	1181	884
572	1183	881
573	1185	879
574	1187	877
575	1189	875
576	1191	873
577	1193	871
578	1195	869
579	1197	867
580	1199	865
581	1201	863
582	1203	860
583	1205	858
584	1207	856
585	1209	854
586	1211	852
587	1213	850
588	1215	848
589	1217	846
590	1219	844
591	1221	841
592	1223	839
593	1225	837
594	1228	836
595	1230	833
596	1232	831
597	1234	829
598	1236	827
599	1238	825
600	1240	823
601	1242	821
602	1244	819
603	1247	817
604	1249	815
605	1251	813
606	1253	811
607	1255	809
608	1257	807
609	1259	805
610	1261	803
611	1263	801
612	1266	799
613	1267	797
614	1269	794
615	1271	792
616	1273	790
617	1275	788
618	1277	786
619	1279	784
620	1281	782
621	1283	780
622	1285	778
623	1287	776
624	1289	773
625	1291	771
626	1294	769
627	1296	767
628	1298	765
629	1299	763
630	1302	761
631	1304	759
632	1306	757
633	1308	755
634	1310	753
635	1312	751
636	1314	749
637	1316	747
638	1319	745
639	1320	743
640	1323	741
641	1325	739
642	1327	737
643	1329	735
644	1331	733
645	1334	731
646	1336	729
647	1338	726
648	1340	724
649	1342	722
650	1344	720
651	1346	718
652	1348	716
653	1350	714
654	1353	712
655	1355	710
656	1357	708
657	1359	706
658	1362	704
659	1364	702
660	1366	700
661	1368	698
662	1370	696
663	1372	694
664	1375	692
665	1377	690
666	1379	688
667	1381	686
668	1384	684
669	1386	682
670	1388	680
671	1390	678
672	1393	676
673	1395	674
674	1397	672
675	1399	670
676	1401	668
677	1403	666
678	1406	664
679	1408	662
680	1410	660
681	1413	658
682	1415	656
683	1417	654
684	1420	653
685	1423	651
686	1425	649
687	1427	647
688	1430	645
689	1433	643
690	1435	642
691	1438	640
692	1441	638
693	1444	636
694	1446	634
695	1449	633
696	1452	631
697	1454	629
698	1457	627
699	1460	625
700	1462	623
701	1464	621
702	1467	620
703	1474	619
704	1476	617
705	1479	616
706	1482	614
707	1484	612
708	1487	610
709	1489	608
710	1492	606
711	1494	604
712	1496	602
713	1498	600
714	1501	598
715	1503	596
716	1505	594
717	1507	592
718	1509	590
719	1512	588
720	1514	585
721	1516	584
722	1519	582
723	1521	579
724	1523	577
725	1526	575
726	1528	574
727	1530	572
728	1533	570
729	1536	568
730	1538	566
731	1541	564
732	1543	562
733	1546	560
734	1548	558
735	1551	556
736	1553	554
737	1556	552
738	1558	550
739	1561	548
740	1563	546
741	1566	544
742	1568	542
743	1570	540
744	1572	538
745	1575	536
746	1577	534
747	1580	532
748	1582	530
749	1584	528
750	1587	526
751	1590	524
752	1592	522
753	1595	520
754	1597	518
755	1599	516
756	1601	514
757	1603	511
758	1605	509
759	1607	507
760	1609	505
761	1611	503
762	1613	501
763	1615	499
764	1617	496
765	1619	494
766	1621	492
767	1623	490
768	1625	488
769	1627	486
770	1629	484
771	1632	482
772	1634	480
773	1636	477
774	1638	475
775	1640	473
776	1642	471
777	1644	469
778	1646	467
779	1648	465
780	1650	462
781	1653	460
782	1655	458
783	1657	456
784	1659	454
785	1661	452
786	1663	450
787	1665	448
788	1667	445
789	1669	443
790	1671	441
791	1673	439
792	1675	437
793	1677	435
794	1679	433
795	1682	431
796	1684	428
797	1686	426
798	1688	424
799	1690	422
800	1692	420
801	1695	418
802	1697	416
803	1700	414
804	1703	412
805	1705	410
806	1708	408
807	1711	406
808	1714	404
809	1716	402
810	1718	400
811	1721	398
812	1723	396
813	1726	394
814	1728	392
815	1730	390
816	1732	388
817	1734	386
818	1736	383
819	1739	381
820	1741	379
821	1743	377
822	1745	375
823	1748	373
824	1750	371
825	1752	369
826	1755	367
827	1757	364
828	1759	362
829	1761	360
830	1764	358
831	1766	356
832	1768	354
833	1771	352
834	1773	350
835	1776	348
836	1779	346
837	1781	344
838	1783	342
839	1786	340
840	1789	338
841	1792	336
842	1794	334
843	1797	332
844	1800	330
845	1802	328
846	1804	326
847	1807	324
848	1810	322
849	1813	320
850	1816	318
851	1819	315
852	1821	313
853	1823	311
854	1826	309
855	1828	307
856	1830	305
857	1832	303
858	1835	301
859	1837	299
860	1840	297
861	1842	294
862	1844	292
863	1847	290
864	1849	288
865	1851	286
866	1853	284
867	1856	282
868	1858	280
869	1860	278
870	1862	275
871	1865	273
872	1867	271
873	1869	269
874	1872	267
875	1874	265
876	1877	263
877	1879	261
878	1881	259
879	1884	256
880	1886	254
881	1889	252
882	1891	250
883	1893	248
884	1896	246
885	1898	244
886	1900	242
887	1903	240
888	1905	237
889	1908	235
890	1910	233
891	1913	231
892	1916	229
893	1918	227
894	1920	225
895	1923	223
896	1925	221
897	1927	218
898	1930	216
899	1933	214
900	1935	212
901	1938	210
902	1940	208
903	1943	206
904	1945	204
905	1948	202
906	1950	199
907	1953	197
908	1955	195
909	1958	193
910	1960	191
911	1963	189
912	1965	187
913	1967	185
914	1970	183
915	1972	180
916	1974	178
917	1976	176
918	1978	174
919	1981	172
920	1983	170
921	1985	167
922	1987	165
923	1990	163
924	1992	161
925	1994	159
926	1996	157
927	1999	155
928	2001	152
929	2003	150
930	2006	148
931	2008	146
932	2010	144
933	2012	142
934	2014	140
935	2017	137
936	2019	135
937	2021	133
938	2023	131
939	2025	129
940	2028	127
941	2030	125
942	2032	122
943	2035	120
944	2037	118
945	2039	116
946	2041	114
947	2043	112
948	2045	109
949	2048	107
950	2050	105
951	2052	103
952	2054	101
953	2057	99
954	2059	97
955	2061	94
956	2063	92
957	2065	90
958	2068	88
959	2070	86
960	2072	84
961	2074	81
962	2077	79
963	2079	77
964	2081	75
965	2083	73
966	2085	71
967	2088	69
968	2090	66
969	2092	64
970	2094	62
971	2097	60
972	2099	58
973	2101	56
974	2103	53
975	2106	51
976	2108	49
977	2110	47
978	2112	45
979	2115	43
980	2117	41
981	2119	38
982	2121	36
983	2123	34
984	2126	32
985	2128	30
986	2130	28
987	2132	25
988	2135	23
989	2137	21
990	2139	19
991	2141	17
992	2143	15
993	2146	12
994	2148	10
995	2150	8
996	2152	6
997	2155	4
998	2157	2
999	2159	0
